year,month,route,monthly_flight_count
2015,2,dal-aus,255
2015,2,dca-msy,56
2015,2,ind-mco,112
2015,2,mci-hou,48
2015,2,slc-psp,72
2015,1,dfw-san,309
2015,1,rhi-imt,26
2015,1,lax-okc,28
2015,1,rsw-iah,54
2015,1,den-bwi,148
2015,1,clt-cle,114
2015,1,clt-pbi,171
2015,1,dal-lit,92
2015,1,pvd-bwi,190
2015,1,san-mci,31
2015,1,okc-las,62
2015,1,ind-iad,14
2015,1,grb-atl,31
2015,1,mia-bos,217
2015,1,day-dfw,89
2015,1,sea-fll,31
2015,1,fll-swf,31
2015,1,jfk-msp,51
2015,1,gsp-lga,3
2015,2,ord-sju,84
2015,2,sea-bur,84
2015,2,den-bos,147
2015,2,atl-mem,257
2015,2,jfk-dtw,34
2015,2,fll-acy,84
2015,2,dal-sfo,103
2015,2,den-day,49
2015,2,mci-ind,48
2015,2,rdu-mco,86
2015,2,sat-mco,28
2015,2,tul-msp,20
2015,2,sfo-smf,196
2015,2,iah-bwi,49
2015,2,dtw-sce,3
2015,2,mco-buf,128
2015,1,msp-mco,180
2015,1,dfw-lax,620
2015,1,msp-tul,5
2015,1,msp-isn,108
2015,1,dal-iah,200
2015,1,pit-iah,77
2015,1,den-msp,428
2015,1,dca-phl,32
2015,1,las-tul,31
2015,1,ewr-sju,111
2015,1,san-clt,58
2015,1,iah-msp,112
2015,1,avp-dtw,50
2015,1,sgf-atl,120
2015,1,phf-den,3
2015,1,sgf-dfw,235
2015,1,dfw-lex,94
2015,1,jfk-tpa,251
2015,2,dfw-ont,104
2015,2,sju-jfk,387
2015,2,jfk-mia,296
2015,2,san-sea,247
2015,2,pdx-las,195
2015,2,bos-las,68
2015,2,dfw-lft,136
2015,2,cle-bos,86
2015,2,ord-cvg,313
2015,2,ord-mhk,52
2015,2,dfw-jan,189
2015,2,tys-lga,24
2015,2,mia-tlh,81
2015,2,pbi-acy,28
2015,2,hdn-iah,32
2015,2,azo-atl,4
2015,2,msn-lga,1
2015,1,dfw-phx,406
2015,1,bil-slc,97
2015,1,sbn-msp,31
2015,1,sun-sfo,24
2015,1,ord-ind,240
2015,1,phl-sea,63
2015,1,phx-ord,405
2015,1,bhm-tpa,58
2015,1,buf-mdw,63
2015,1,clt-hou,31
2015,1,mci-msy,31
2015,1,mci-tpa,31
2015,1,atl-cmh,263
2015,1,hou-ecp,31
2015,1,dfw-grk,274
2015,1,den-isn,119
2015,1,ttn-dtw,3
2015,1,lga-tys,25
2015,1,sfo-mia,98
2015,1,lga-btv,5
2015,1,clt-stx,5
2015,2,mia-phl,220
2015,2,dfw-ege,68
2015,2,dfw-lga,378
2015,2,mia-sea,28
2015,2,sju-fll,214
2015,2,dal-atl,227
2015,2,sju-msp,8
2015,2,fll-orh,28
2015,2,sea-fai,84
2015,2,ord-bna,251
2015,2,fsm-dfw,108
2015,2,bwi-fll,331
2015,2,hou-ind,28
2015,2,hou-stl,95
2015,2,mco-ind,112
2015,2,tul-las,28
2015,2,sun-sfo,25
2015,2,cdc-slc,48
2015,2,ord-srq,34
2015,2,iah-hdn,32
2015,2,phx-ogg,46
2015,2,ewr-hnl,27
2015,2,hdn-ord,6
2015,2,dtw-swf,11
2015,1,lbe-mco,31
2015,1,hib-msp,50
2015,1,den-rno,96
2015,1,lax-phl,163
2015,1,mia-msy,29
2015,1,lax-ito,13
2015,1,tul-den,129
2015,1,clt-mdw,58
2015,1,fll-hou,62
2015,1,geg-phx,67
2015,1,grr-bwi,58
2015,1,ind-den,130
2015,1,las-lit,31
2015,1,mco-sdf,35
2015,1,stl-cmh,50
2015,1,tpa-aus,31
2015,1,mtj-iah,30
2015,1,syr-jfk,93
2015,1,atl-hpn,158
2015,1,aby-atl,81
2015,1,hnl-smf,31
2015,1,mco-jfk,448
2015,1,pdx-dfw,123
2015,1,anc-bet,82
2015,1,san-ogg,31
2015,1,msp-slc,149
2015,1,btv-atl,31
2015,1,ttn-bna,2
2015,1,jax-lga,8
2015,2,sat-atl,233
2015,2,bdl-msp,49
2015,2,gnv-atl,158
2015,2,phl-atl,518
2015,2,dca-slc,54
2015,2,anc-scc,56
2015,2,tys-ord,153
2015,2,den-mtj,68
2015,2,aus-tpa,28
2015,2,mdw-slc,60
2015,2,stl-rdu,28
2015,2,sfo-sba,164
2015,2,clt-sfo,128
2015,2,msp-dsm,9
2015,2,den-koa,4
2015,2,atl-fwa,61
2015,1,lax-dtw,181
2015,1,fat-lax,241
2015,1,msp-phx,378
2015,1,rdm-sfo,61
2015,1,iah-aus,140
2015,1,cid-ord,284
2015,1,sfo-sea,578
2015,1,pit-clt,227
2015,1,mia-rdu,98
2015,1,iah-rno,5
2015,1,bna-bwi,168
2015,1,bos-cak,27
2015,1,buf-bwi,151
2015,1,mci-mdw,224
2015,1,phx-lit,31
2015,1,san-hou,62
2015,1,tpa-fnt,31
2015,1,pdx-mdw,31
2015,1,mco-cle,113
2015,1,ama-iah,81
2015,1,gsp-ewr,59
2015,1,rdu-bos,121
2015,1,atl-eyw,138
2015,1,lit-ord,168
2015,1,dfw-dsm,147
2015,1,dfw-cae,84
2015,1,otz-anc,35
2015,1,pdx-sna,83
2015,1,dca-dtw,165
2015,1,msp-mso,31
2015,2,dfw-dca,263
2015,2,dfw-lax,555
2015,2,pdx-sna,72
2015,2,bwi-sea,28
2015,2,atl-aus,232
2015,2,fnt-atl,78
2015,2,slc-oak,183
2015,2,atl-oma,130
2015,2,sfo-msp,149
2015,2,msn-msp,81
2015,2,lft-den,28
2015,2,syr-dtw,16
2015,2,gsp-dfw,52
2015,2,den-fca,45
2015,2,stl-okc,28
2015,2,tul-hou,76
2015,2,hys-den,49
2015,2,sfo-hdn,4
2015,2,dtw-cvg,14
2015,2,stl-slc,19
2015,1,sfo-lax,1112
2015,1,phl-msy,31
2015,1,phx-oak,233
2015,1,stl-lga,223
2015,1,dca-phx,89
2015,1,hpn-ord,175
2015,1,ewr-oma,51
2015,1,mem-ewr,81
2015,1,atl-lnk,29
2015,1,ecp-atl,165
2015,1,dfw-smf,113
2015,1,dfw-pbi,93
2015,1,psp-ord,34
2015,1,msp-geg,59
2015,1,msp-cwa,1
2015,2,mke-dfw,88
2015,2,ord-san,154
2015,2,grr-atl,107
2015,2,msy-lax,155
2015,2,atl-sfo,231
2015,2,ord-atw,119
2015,2,grr-ord,182
2015,2,lnk-den,67
2015,2,cvg-den,48
2015,2,tpa-phl,216
2015,2,mco-ilg,12
2015,2,dfw-saf,55
2015,2,hou-dca,104
2015,2,ind-phx,105
2015,2,sfo-lih,28
2015,2,den-anc,28
2015,2,phl-sat,20
2015,2,orf-clt,45
2015,2,bqn-fll,12
2015,2,iag-myr,5
2015,2,lax-clt,160
2015,1,rdu-iah,100
2015,1,cmh-ord,299
2015,1,sfo-iah,290
2015,1,dca-clt,234
2015,1,clt-mci,131
2015,1,bur-phx,166
2015,1,mci-atl,310
2015,1,mdw-lit,30
2015,1,oak-mdw,62
2015,1,alb-bwi,125
2015,1,san-ord,160
2015,1,dfw-mhk,93
2015,1,gpt-atl,124
2015,1,msp-aus,18
2015,1,ogg-oak,62
2015,1,mia-chs,65
2015,1,sav-bos,31
2015,1,jfk-sjc,19
2015,1,dtw-sce,1
2015,1,dtw-cmh,2
2015,2,ogg-sea,112
2015,2,bos-rdu,111
2015,2,atl-bos,354
2015,2,jax-ewr,61
2015,2,avp-dtw,33
2015,2,bwi-bhm,52
2015,2,bwi-oak,28
2015,2,chs-bwi,76
2015,2,fll-cmh,28
2015,2,ind-fll,32
2015,2,stl-mke,48
2015,2,iah-dca,152
2015,2,lax-pit,16
2015,2,jax-phl,20
2015,2,msn-mco,4
2015,2,buf-rsw,4
2015,1,acy-tpa,31
2015,1,sfo-sna,369
2015,1,mot-msp,50
2015,1,stc-ord,58
2015,1,msp-imt,31
2015,1,sfo-stl,66
2015,1,rks-den,62
2015,1,lga-day,56
2015,1,fll-cle,67
2015,1,iad-sea,40
2015,1,bos-den,161
2015,1,mia-dtw,121
2015,1,mke-sea,27
2015,1,hou-rdu,33
2015,1,oma-stl,88
2015,1,sjc-iah,27
2015,1,sju-iah,42
2015,1,jfk-sju,418
2015,1,dfw-fsd,93
2015,1,den-saf,36
2015,1,dtw-ewr,270
2015,1,avl-atl,168
2015,1,cha-atl,181
2015,1,mia-iad,72
2015,1,dfw-bhm,89
2015,1,rdu-dfw,133
2015,1,mia-ege,31
2015,1,hpn-fll,62
2015,1,msp-bil,34
2015,1,mtj-phx,9
2015,1,cvg-lga,22
2015,1,tpa-grr,26
2015,2,mia-sju,188
2015,2,bli-ogg,16
2015,2,jfk-roc,83
2015,2,jfk-pbi,196
2015,2,jfk-bqn,28
2015,2,atl-dab,123
2015,2,atl-jax,384
2015,2,dsm-ord,276
2015,2,ord-grr,196
2015,2,tys-den,28
2015,2,jax-ord,15
2015,2,sfo-aus,170
2015,2,hou-dal,546
2015,2,maf-las,28
2015,2,mdw-buf,56
2015,2,phl-fll,206
2015,2,phx-mdw,159
2015,2,mco-iah,219
2015,2,ind-jfk,28
2015,2,las-ewr,131
2015,2,clt-aus,24
2015,1,sba-sfo,212
2015,1,den-fat,65
2015,1,lrd-dfw,124
2015,1,slc-gtf,78
2015,1,sfo-hnl,152
2015,1,pit-ord,99
2015,1,aus-hrl,31
2015,1,dtw-bna,149
2015,1,ewr-bna,186
2015,1,las-rdu,31
2015,1,mco-stl,137
2015,1,msy-hou,286
2015,1,sat-elp,58
2015,1,sea-smf,224
2015,1,ord-cak,80
2015,1,iah-ama,81
2015,1,msp-ewr,111
2015,1,den-lbb,63
2015,1,jfk-cmh,62
2015,1,dfw-pdx,123
2015,1,dfw-ind,139
2015,1,sju-dfw,66
2015,1,lgb-las,90
2015,1,msy-msp,29
2015,1,cvg-slc,34
2015,2,ege-ord,26
2015,2,bos-mia,196
2015,2,pdx-sjc,208
2015,2,atl-crw,95
2015,2,msp-smf,22
2015,2,psp-msp,28
2015,2,msp-geg,52
2015,2,ewr-sea,100
2015,2,bet-anc,76
2015,2,cdv-yak,28
2015,2,iah-aex,79
2015,2,sdf-ewr,33
2015,2,atl-fsm,77
2015,2,mhk-ord,53
2015,2,dfw-jln,56
2015,2,cmh-las,40
2015,2,dal-lbb,132
2015,2,hou-bwi,75
2015,2,las-bna,55
2015,2,tul-stl,28
2015,2,tus-slc,80
2015,2,iad-sea,28
2015,2,clt-cvg,10
2015,2,ewr-xna,20
2015,2,mdw-ttn,12
2015,2,pwm-dtw,26
2015,1,dfw-dtw,228
2015,1,hnl-koa,581
2015,1,iah-slc,178
2015,1,okc-ord,120
2015,1,phl-mia,244
2015,1,clt-pit,232
2015,1,slc-phl,65
2015,1,atl-ind,324
2015,1,bur-las,270
2015,1,las-elp,62
2015,1,lga-mdw,196
2015,1,msy-bna,114
2015,1,phx-ind,115
2015,1,ont-sjc,117
2015,1,iah-mtj,30
2015,1,atl-msn,61
2015,1,abe-dtw,73
2015,1,lft-atl,90
2015,1,mia-bna,5
2015,1,fai-sea,93
2015,2,bwi-dfw,135
2015,2,mia-dfw,312
2015,2,sea-stl,28
2015,2,oma-atl,130
2015,2,slc-rno,80
2015,2,ecp-atl,157
2015,2,wrg-ktn,28
2015,2,psg-jnu,28
2015,2,sjt-dfw,136
2015,2,dfw-mei,48
2015,2,lbb-iah,80
2015,2,ewn-atl,51
2015,2,atl-lnk,28
2015,2,den-isn,107
2015,2,fll-stl,68
2015,2,phx-cle,73
2015,2,mia-eyw,82
2015,2,buf-tpa,56
2015,2,oak-san,282
2015,2,rdu-bwi,139
2015,2,sat-den,134
2015,2,smf-pdx,116
2015,2,tpa-cmh,59
2015,2,apn-dtw,48
2015,1,dfw-las,434
2015,1,sat-dtw,44
2015,1,isn-msp,108
2015,1,ord-dca,467
2015,1,cdc-slc,53
2015,1,iad-smf,5
2015,1,msp-clt,211
2015,1,bos-ord,486
2015,1,dal-ama,116
2015,1,hou-crp,112
2015,1,ict-dal,54
2015,1,mco-alb,88
2015,1,mke-bos,54
2015,1,stl-msy,61
2015,1,sjt-dfw,151
2015,1,orf-iad,41
2015,1,mli-atl,88
2015,1,tul-iad,5
2015,1,gnv-mia,53
2015,1,dfw-sna,290
2015,1,lax-tpa,54
2015,1,psg-wrg,31
2015,1,ogg-bli,18
2015,1,hnl-atl,31
2015,2,jfk-btv,84
2015,2,atw-atl,41
2015,2,dtw-gso,61
2015,2,hnl-smf,28
2015,2,msy-den,132
2015,2,grk-iah,77
2015,2,mli-den,23
2015,2,mdw-alb,56
2015,2,mdw-sjc,28
2015,2,rsw-grr,28
2015,2,san-sjc,232
2015,2,sat-mdw,48
2015,2,tul-slc,24
2015,2,rno-mdw,4
2015,1,tpa-dfw,242
2015,1,abq-sfo,31
2015,1,phx-tus,68
2015,1,ewr-ord,262
2015,1,ord-clt,462
2015,1,dtw-phl,164
2015,1,mco-roc,31
2015,1,msy-dal,230
2015,1,abq-san,52
2015,1,pit-tpa,61
2015,1,pwm-bwi,66
2015,1,sea-mdw,58
2015,1,stl-mdw,194
2015,1,ewr-jax,70
2015,1,iah-lbb,88
2015,1,atl-lft,91
2015,1,anc-ogg,14
2015,1,jax-msp,4
2015,1,msp-bdl,56
2015,2,sea-ord,214
2015,2,stl-dfw,221
2015,2,dfw-rdu,127
2015,2,koa-sea,56
2015,2,dca-chs,56
2015,2,ord-roa,38
2015,2,gpt-iah,121
2015,2,iah-cmh,76
2015,2,rdu-ttn,16
2015,2,dal-okc,79
2015,2,fll-alb,32
2015,2,pbi-isp,70
2015,2,phl-stl,44
2015,2,rsw-pit,56
2015,2,sjc-las,230
2015,2,sna-smf,179
2015,2,slc-gtf,75
2015,2,jac-ord,28
2015,2,ind-sfo,24
2015,2,koa-oak,16
2015,1,lax-boi,74
2015,1,clt-phl,289
2015,1,cak-den,31
2015,1,ric-mco,67
2015,1,cll-dfw,150
2015,1,hsv-ord,36
2015,1,pvd-iad,62
2015,1,dfw-aex,93
2015,1,sat-sea,31
2015,1,swf-mco,31
2015,1,brw-scc,18
2015,1,cvg-las,34
2015,1,abe-ord,20
2015,1,dtw-jax,23
2015,1,lga-mci,63
2015,1,grr-tpa,26
2015,1,mdw-rno,4
2015,2,ege-dfw,68
2015,2,ind-lax,43
2015,2,sea-mci,28
2015,2,bos-cvg,24
2015,2,atl-fsd,28
2015,2,mlu-iah,50
2015,2,den-mot,105
2015,2,boi-geg,48
2015,2,bur-smf,177
2015,2,lax-rno,140
2015,2,orf-bwi,80
2015,2,cpr-den,98
2015,2,day-dtw,24
2015,2,phx-mht,1
2015,2,sce-dtw,3
2015,1,fll-mco,62
2015,1,den-psp,115
2015,1,iad-iah,143
2015,1,sfo-iad,254
2015,1,lax-pit,18
2015,1,pbi-phl,155
2015,1,sat-clt,31
2015,1,oak-boi,62
2015,1,oma-phx,118
2015,1,ege-ewr,31
2015,1,ord-pns,5
2015,1,dfw-stl,244
2015,1,atl-smf,44
2015,1,slc-msy,31
2015,1,iah-stl,73
2015,1,mso-btm,1
2015,2,ord-tul,170
2015,2,jfk-clt,215
2015,2,aus-bos,28
2015,2,slc-geg,98
2015,2,atl-den,365
2015,2,lch-dfw,73
2015,2,mci-ewr,61
2015,2,msp-rst,34
2015,2,row-dfw,80
2015,2,acy-mco,84
2015,2,alb-mco,83
2015,2,fnt-las,28
2015,2,tus-san,72
2015,2,sfo-ase,52
2015,2,iad-cae,74
2015,2,clt-bna,106
2015,2,dvl-jms,24
2015,2,iad-bna,10
2015,2,phl-bwi,1
2015,1,msp-lax,243
2015,1,las-oak,321
2015,1,okc-sfo,31
2015,1,lax-cos,60
2015,1,ont-iah,35
2015,1,bwi-den,148
2015,1,bwi-hou,86
2015,1,dal-stl,204
2015,1,tul-stl,31
2015,1,syr-ord,144
2015,1,ewr-cvg,127
2015,1,iah-sav,36
2015,1,mob-ord,27
2015,1,tol-ord,89
2015,1,pia-ord,183
2015,1,lbe-rsw,13
2015,1,lga-pbi,304
2015,1,ege-ord,27
2015,1,sea-lih,62
2015,1,bos-chs,31
2015,1,atl-avp,31
2015,1,alb-atl,86
2015,1,anc-cdv,30
2015,1,orf-dtw,37
2015,1,dtw-gsp,13
2015,1,far-jms,1
2015,2,san-jfk,104
2015,2,tul-dfw,220
2015,2,dfw-cmh,108
2015,2,pit-dfw,98
2015,2,msp-ord,489
2015,2,sjc-koa,12
2015,2,phx-bos,119
2015,2,ric-mco,60
2015,2,dca-fll,210
2015,2,msp-oma,103
2015,2,sdf-ord,126
2015,2,ewr-ric,90
2015,2,sav-ewr,45
2015,2,iad-gsp,2
2015,2,iah-tys,52
2015,2,iah-chs,31
2015,2,dtw-abe,58
2015,2,oaj-atl,102
2015,2,fll-tpa,163
2015,2,mdw-mci,197
2015,2,oma-phx,110
2015,2,phl-las,180
2015,2,phx-bwi,112
2015,2,msp-imt,28
2015,2,lan-dtw,73
2015,2,slc-sgu,108
2015,2,ege-iah,28
2015,2,stt-phl,23
2015,2,dtw-gsp,13
2015,2,mtj-phx,8
2015,1,den-ord,456
2015,1,mci-dtw,116
2015,1,sea-cos,31
2015,1,pvd-clt,102
2015,1,lax-bos,270
2015,1,dal-sfo,111
2015,1,lga-hou,80
2015,1,dfw-ggg,54
2015,1,den-guc,35
2015,1,gso-atl,223
2015,1,dtw-lex,39
2015,1,lga-mia,612
2015,1,xna-dfw,213
2015,1,jfk-bwi,31
2015,1,dfw-cou,62
2015,1,ewr-tul,4
2015,1,mco-msp,180
2015,1,mia-dfw,346
2015,1,pse-jfk,31
2015,1,sjc-atl,23
2015,1,ewr-alb,3
2015,1,lex-lga,3
2015,1,dsm-slc,3
2015,1,buf-rsw,4
2015,2,aus-dfw,376
2015,2,msp-dfw,227
2015,2,cmh-dfw,108
2015,2,ord-day,237
2015,2,ind-ewr,113
2015,2,ord-cle,379
2015,2,bna-ord,248
2015,2,bqk-atl,78
2015,2,den-pdx,214
2015,2,koa-ogg,56
2015,2,abq-phx,201
2015,2,ict-las,28
2015,2,phx-tul,52
2015,2,cho-ord,56
2015,2,ord-boi,28
2015,2,msp-bji,56
2015,2,clt-pvd,94
